_key,publishedOnSource,hasIBCCode,publishedOnDate
0,Baghdad Post,a6376-dh3642,28 Feb
1,Al-Sum,a6379-kr3551,28 Feb 
2, NINA,a6379-kr3551,28 Feb
3,Al-Sum,a6365-db3634,27 Feb 
4, Al-Maalomah,a6365-db3634,27 Feb
5,Al-Sum,a6365-vn3511,27 Feb 
6, Al-Maalomah,a6365-vn3511,27 Feb
7,NINA,a6367-nw3485,27 Feb
8, Radio Australia,a6367-nw3485,27 Feb
9,NINA,a6367-ke3670,27 Feb
10, Radio Australia,a6367-ke3670,27 Feb
11,NINA,a6367-nf3535,27 Feb
12, Radio Australia,a6367-nf3535,27 Feb
13,NINA,a6367-ka3500,27 Feb
14, Radio Australia,a6367-ka3500,27 Feb
15,Airwars,a6363-nv3559,2017
16, Baghdad Post,a6363-nv3559,26 Feb
17,Airwars,a6363-fn3690,2017
18, Baghdad Post,a6363-fn3690,26 Feb
19,Al-Sum,a6347-sv3519,25 Feb
20,Al-Sum,a6347-zv3654,25 Feb
21,Al-Sum,a6348-sz3469,25 Feb
22,Al-Sum,a6348-ev3448,25 Feb
23,Al-Sum,a6348-dv3523,25 Feb
24,Airwars,a6354-xe3527,2017
25,AP,a6381-xz3480,25 Feb  
26, Al-Jaz,a6381-xz3480,25 Feb
27,NINA,a6353-zs3444,25 Feb
28,Baghdad Post,a6334-hd3552,22 Feb
29,Baghdad Post,a6313-vm3513,19 Feb
30,Baghdad Post,a6313-xc3570,19 Feb
31,Yaqein,a6317-hu3565,19 Feb 
32, Airwars,a6317-hu3565,2017
33, Iraqi News,a6317-hu3565,21 Feb
34,Al-Maalomah,a6279-kb3674,18 Feb
35,Al-Maalomah,a6279-xb3547,18 Feb
36,Airwars,a6261-xa3469,2017
37,Airwars,a6262-dx3523,2017
38,Airwars,a6262-ec3650,2017
39,Airwars,a6262-dw3465,2017
40,Airwars,a6262-zx3511,2017
41,Airwars,a6262-sf3460,2017
42,Airwars,a6262-zw3445,2017
43,Airwars,a6262-sb3646,2017
44,Al-Sum,a6243-sw3512,12 Feb
45,Al-Sum,a6247-zm3529,12 Feb 
46, NINA,a6247-zm3529,12 Feb
47,Airwars,a6300-vc3586,2017
48,XIN,a6241-zc3459,12 Feb 
49, DPA,a6241-zc3459,11 Feb
50, Al-Jaz,a6241-zc3459,12 Feb
51, AFP,a6241-zc3459,11 Feb
52,KUNA,a6292-sx3521,10 Feb
53, REU,a6292-sx3521,10 Feb
54,NINA,a6295-ed3508,10 Feb 
55, DPA,a6295-ed3508,10 Feb
56,Al-Iraq News,a6229-hx3473,09 Feb 
57, Al-Maalomah,a6229-hx3473,09 Feb
58,Al-Sum,a6222-xz3496,08 Feb
59,Daily Mail,a6215-dh3658,07 Feb
60,AIN/The Times,a6214-eh3457,09 Feb
61,Al-Sum,a6206-ec3642,06 Feb
62,Al-Sum,a6206-dw3441,06 Feb
63,Al-Sum,a6162-fb3606,03 Feb
64,Al-Sum,a6158-bn3602,02 Feb
65,Al-Sum,a6153-xd3614,01 Feb 
66, Al-Mawqif,a6153-xd3614,01 Feb
67,Al-Sum,a6153-kx3541,01 Feb 
68, Al-Mawqif,a6153-kx3541,01 Feb
69,Al-Sum,a6153-ux3556,01 Feb 
70, Al-Mawqif,a6153-ux3556,01 Feb
71,Al-Maalomah,a6135-sr3517,31 Jan
72,Al-Maalomah,a6135-zc3467,31 Jan
73,Al-Sum,a6109-nd3492,30 Jan
74,Rudaw,a6122-nz3686,29 Jan
75,Al-Mada,a6118-bu3670,28 Jan
76,Al-Mada,a6118-hr3485,28 Jan
77,Al-Mada,a6118-bc3500,28 Jan
78,NINA,a6121-fn3666,28 Jan
79,NINA,a6121-hx3481,28 Jan
80,NINA,a6151-ks3537,26 Jan
81,Al-Mada,a6190-fv3565,25 Jan 
82, Al-Maalomah,a6190-fv3565,25 Jan
83,Baghdad Post,a6192-fz3487,25 Jan 
84, NINA,a6192-fz3487,25 Jan
85,AIN,a6173-bv3553,22 Jan
86,Baghdad Post,a6323-nh3561,22 Feb 
87, ARA News,a6323-nh3561,22 Feb
88,Baghdad Post,a6323-bh3544,22 Feb 
89, ARA News,a6323-bh3544,22 Feb
90,Airwars,a6089-sx3473,2016
91,Airwars,a6089-ed3492,2016
92,Airwars,a6089-dm3543,2016
93,Airwars,a6089-ur3678,2016
94,Airwars,a6089-dc3477,2016
95,Airwars,a6089-vu3496,2016
96,Airwars,a6089-xh3539,2016
97,Airwars,a6089-vc3666,2016
98,Airwars,a6089-xn3481,2016
99,Airwars,a6090-zc3563,2017
100,Iraqi News,a6084-zn3488,20 Jan 
101, Al-Sum,a6084-zn3488,20 Jan
102,Iraqi News,a6084-sd3547,20 Jan 
103, Al-Sum,a6084-sd3547,20 Jan
104,Almirbad,a6169-hc3471,01 Feb
105, NRT,a6169-hc3471,27 Jan
106,Iraqi News,a6056-fw3485,17 Jan
107,Iraqi News,a6056-kf3670,17 Jan
108,Baghdad Post,a6059-kh3500,17 Jan
109,Shafaq News,a6055-hz3666,16 Jan
110,Shafaq News,a6055-bz3539,16 Jan
111,Al-Mada,d13118-ke3678,12 Jan
112,Al-Mada,d13118-nf3543,12 Jan
113,Airwars,d13114-eh3449,2017
114,Al-Bagh,d13086-kx3549,09 Jan
115,Airwars,d13113-ve3453,2017
116, Iraqyoon,d13113-ve3453,12 Jan
117,Airwars,d13113-xf3638,2017
118, Iraqyoon,d13113-xf3638,12 Jan
119,Airwars,d13113-ef3507,2017
120, Iraqyoon,d13113-ef3507,12 Jan
121,Shafaq News,d13073-zn3528,08 Jan
122,Shafaq News,d13073-sd3443,08 Jan
123,Airwars,d13075-zu3570,2017
124,Airwars,d13083-ks3545,2017
125,Airwars,d13083-ns3560,2017
126,Airwars,d13083-hv3475,2017
127,Airwars,d13092-hu3541,2017
128,Airwars,d13092-fd3556,2017
129,Airwars,d13092-hc3479,2017
130,Airwars,d13092-bv3561,2017
131,Airwars,d13092-hz3618,2017
132,Airwars,d13095-kf3622,2017
133,Airwars,d13095-fh3487,2017
134,Airwars,d13078-sa3590,2017
135,Airwars,d13078-vs3467,2017
136,Airwars,d13078-xu3504,2017
137,Airwars,d13078-vm3521,2017
138,Airwars,d13078-xc3594,2017
139,Airwars,d13078-ek3463,2017
140,Airwars,d13078-su3508,2017
141,Shafaq News,d13048-xf3662,03 Jan
142, Airwars,d13048-xf3662,2017
143,Al-Sum,d13058-xm3497,05 Jan
144, Anadolu Agency,d13058-xm3497,06 Jan
145,NINA,d12993-vn3487,29 Dec
146, Al-Sum,d12993-vn3487,29 Dec
147,NINA,d12993-xw3548,29 Dec
148, Al-Sum,d12993-xw3548,29 Dec
149,REU,d13002-eh3561,30 Dec
150, Airwars,d13002-eh3561,2016
151,Al-Sum,d12982-ec3602,28 Dec
152,Iraq-amsi,d13001-df3544,27 Dec
153, Airwars,d13001-df3544,2016
154,Shafaq News,d12961-sz3541,25 Dec
155,Al-Maalomah,d12955-bn3690,24 Dec
156,NINA,d12942-ur3654,23 Dec
157,Al-Sum,d12973-zs3564,26 Dec
158,AFP,d12923-kb3602,20 Dec
159, Rudaw,d12923-kb3602,20 Dec
160,Al-A'Amaq,d12949-nv3439,20 Dec
161, Airwars,d12949-nv3439,2016
162,NINA,a5995-hr3557,14 Dec
163,NINA,a5995-bc3540,14 Dec
164,Iraqi News,a5979-za3598,13 Dec
165,Al-Sum,a5980-xa3525,13 Dec
166, NINA,a5980-xa3525,14 Dec
167,Al-Sum,a5980-nv3495,13 Dec
168, NINA,a5980-nv3495,14 Dec
169,REU,a5987-zw3517,11 Dec
170, Al-Sum,a5987-zw3517,11 Dec
171,Airwars,a5989-db3570,2016
172,Airwars,a5989-vn3447,2016
173,Airwars,a5989-xw3524,2016
174,Airwars,a5989-ve3509,2016
175,Airwars,a5989-xf3582,2016
176,Airwars,a5989-ef3451,2016
177,Airwars,a5989-df3520,2016
178,Airwars,a5989-eh3505,2016
179,Airwars,a5989-dh3578,2016
180,Airwars,a5989-nb3622,2016
181,Airwars,a5989-kn3565,2016
182,REU,a6037-sw3464,07 Dec 
183, Al-Jaz,a6037-sw3464,08 Dec 
184, Al-Bawaba,a6037-sw3464,08 Dec 
185, Al-Mada,a6037-sw3464,08 Dec
186,REU,a6037-hd3440,07 Dec 
187, Al-Jaz,a6037-hd3440,08 Dec 
188, Al-Bawaba,a6037-hd3440,08 Dec 
189, Al-Mada,a6037-hd3440,08 Dec
190,REU,a6037-fw3461,07 Dec 
191, Al-Jaz,a6037-fw3461,08 Dec 
192, Al-Bawaba,a6037-fw3461,08 Dec 
193, Al-Mada,a6037-fw3461,08 Dec
194,REU,a6037-kf3662,07 Dec 
195, Al-Jaz,a6037-kf3662,08 Dec 
196, Al-Bawaba,a6037-kf3662,08 Dec 
197, Al-Mada,a6037-kf3662,08 Dec
198,REU,a6037-fh3527,07 Dec 
199, Al-Jaz,a6037-fh3527,08 Dec 
200, Al-Bawaba,a6037-fh3527,08 Dec 
201, Al-Mada,a6037-fh3527,08 Dec
202,REU,a6037-kh3444,07 Dec 
203, Al-Jaz,a6037-kh3444,08 Dec 
204, Al-Bawaba,a6037-kh3444,08 Dec 
205, Al-Mada,a6037-kh3444,08 Dec
206,REU,a6037-bx3465,07 Dec 
207, Al-Jaz,a6037-bx3465,08 Dec 
208, Al-Bawaba,a6037-bx3465,08 Dec 
209, Al-Mada,a6037-bx3465,08 Dec
210,REU,a6037-xk3650,07 Dec 
211, Al-Jaz,a6037-xk3650,08 Dec 
212, Al-Bawaba,a6037-xk3650,08 Dec 
213, Al-Mada,a6037-xk3650,08 Dec
214,REU,a6037-bw3523,07 Dec 
215, Al-Jaz,a6037-bw3523,08 Dec 
216, Al-Bawaba,a6037-bw3523,08 Dec 
217, Al-Mada,a6037-bw3523,08 Dec
218,REU,a6037-fv3469,07 Dec 
219, Al-Jaz,a6037-fv3469,08 Dec 
220, Al-Bawaba,a6037-fv3469,08 Dec 
221, Al-Mada,a6037-fv3469,08 Dec
222,REU,a6037-hm3654,07 Dec 
223, Al-Jaz,a6037-hm3654,08 Dec 
224, Al-Bawaba,a6037-hm3654,08 Dec 
225, Al-Mada,a6037-hm3654,08 Dec
226,REU,a6037-fz3519,07 Dec 
227, Al-Jaz,a6037-fz3519,08 Dec 
228, Al-Bawaba,a6037-fz3519,08 Dec 
229, Al-Mada,a6037-fz3519,08 Dec
230,REU,a6037-hs3452,07 Dec 
231, Al-Jaz,a6037-hs3452,08 Dec 
232, Al-Bawaba,a6037-hs3452,08 Dec 
233, Al-Mada,a6037-hs3452,08 Dec
234,REU,a6037-uc3564,07 Dec 
235, Al-Jaz,a6037-uc3564,08 Dec 
236, Al-Bawaba,a6037-uc3564,08 Dec 
237, Al-Mada,a6037-uc3564,08 Dec
238,REU,a6037-sv3471,07 Dec 
239, Al-Jaz,a6037-sv3471,08 Dec 
240, Al-Bawaba,a6037-sv3471,08 Dec 
241, Al-Mada,a6037-sv3471,08 Dec
242,REU,a6037-zv3606,07 Dec 
243, Al-Jaz,a6037-zv3606,08 Dec 
244, Al-Bawaba,a6037-zv3606,08 Dec 
245, Al-Mada,a6037-zv3606,08 Dec
246,REU,a6037-sz3549,07 Dec 
247, Al-Jaz,a6037-sz3549,08 Dec 
248, Al-Bawaba,a6037-sz3549,08 Dec 
249, Al-Mada,a6037-sz3549,08 Dec
250,REU,a6037-ev3560,07 Dec 
251, Al-Jaz,a6037-ev3560,08 Dec 
252, Al-Bawaba,a6037-ev3560,08 Dec 
253, Al-Mada,a6037-ev3560,08 Dec
254,REU,a6037-dv3475,07 Dec 
255, Al-Jaz,a6037-dv3475,08 Dec 
256, Al-Bawaba,a6037-dv3475,08 Dec 
257, Al-Mada,a6037-dv3475,08 Dec
258,REU,a6037-ue3602,07 Dec 
259, Al-Jaz,a6037-ue3602,08 Dec 
260, Al-Bawaba,a6037-ue3602,08 Dec 
261, Al-Mada,a6037-ue3602,08 Dec
262,REU,a6037-dz3545,07 Dec 
263, Al-Jaz,a6037-dz3545,08 Dec 
264, Al-Bawaba,a6037-dz3545,08 Dec 
265, Al-Mada,a6037-dz3545,08 Dec
266,REU,a6037-zs3556,07 Dec 
267, Al-Jaz,a6037-zs3556,08 Dec 
268, Al-Bawaba,a6037-zs3556,08 Dec 
269, Al-Mada,a6037-zs3556,08 Dec
270,REU,a6037-xe3479,07 Dec 
271, Al-Jaz,a6037-xe3479,08 Dec 
272, Al-Bawaba,a6037-xe3479,08 Dec 
273, Al-Mada,a6037-xe3479,08 Dec
274,REU,a6037-za3614,07 Dec 
275, Al-Jaz,a6037-za3614,08 Dec 
276, Al-Bawaba,a6037-za3614,08 Dec 
277, Al-Mada,a6037-za3614,08 Dec
278,REU,a6037-xa3541,07 Dec 
279, Al-Jaz,a6037-xa3541,08 Dec 
280, Al-Bawaba,a6037-xa3541,08 Dec 
281, Al-Mada,a6037-xa3541,08 Dec
282,REU,a6037-ea3552,07 Dec 
283, Al-Jaz,a6037-ea3552,08 Dec 
284, Al-Bawaba,a6037-ea3552,08 Dec 
285, Al-Mada,a6037-ea3552,08 Dec
286,REU,a6037-dx3483,07 Dec 
287, Al-Jaz,a6037-dx3483,08 Dec 
288, Al-Bawaba,a6037-dx3483,08 Dec 
289, Al-Mada,a6037-dx3483,08 Dec
290,REU,a6037-ec3610,07 Dec 
291, Al-Jaz,a6037-ec3610,08 Dec 
292, Al-Bawaba,a6037-ec3610,08 Dec 
293, Al-Mada,a6037-ec3610,08 Dec
294,REU,a6037-dw3537,07 Dec 
295, Al-Jaz,a6037-dw3537,08 Dec 
296, Al-Bawaba,a6037-dw3537,08 Dec 
297, Al-Mada,a6037-dw3537,08 Dec
298,REU,a6037-zx3487,07 Dec 
299, Al-Jaz,a6037-zx3487,08 Dec 
300, Al-Bawaba,a6037-zx3487,08 Dec 
301, Al-Mada,a6037-zx3487,08 Dec
302,REU,a6037-zw3565,07 Dec 
303, Al-Jaz,a6037-zw3565,08 Dec 
304, Al-Bawaba,a6037-zw3565,08 Dec 
305, Al-Mada,a6037-zw3565,08 Dec
306,REU,a6037-sb3622,07 Dec 
307, Al-Jaz,a6037-sb3622,08 Dec 
308, Al-Bawaba,a6037-sb3622,08 Dec 
309, Al-Mada,a6037-sb3622,08 Dec
310,REU,a6037-ua3491,07 Dec 
311, Al-Jaz,a6037-ua3491,08 Dec 
312, Al-Bawaba,a6037-ua3491,08 Dec 
313, Al-Mada,a6037-ua3491,08 Dec
314,REU,a6037-ds3544,07 Dec 
315, Al-Jaz,a6037-ds3544,08 Dec 
316, Al-Bawaba,a6037-ds3544,08 Dec 
317, Al-Mada,a6037-ds3544,08 Dec
318,REU,a6037-eb3561,07 Dec 
319, Al-Jaz,a6037-eb3561,08 Dec 
320, Al-Bawaba,a6037-eb3561,08 Dec 
321, Al-Mada,a6037-eb3561,08 Dec
322,REU,a6037-db3618,07 Dec 
323, Al-Jaz,a6037-db3618,08 Dec 
324, Al-Bawaba,a6037-db3618,08 Dec 
325, Al-Mada,a6037-db3618,08 Dec
326,REU,a6037-vn3495,07 Dec 
327, Al-Jaz,a6037-vn3495,08 Dec 
328, Al-Bawaba,a6037-vn3495,08 Dec 
329, Al-Mada,a6037-vn3495,08 Dec
330,REU,a6037-xw3540,07 Dec 
331, Al-Jaz,a6037-xw3540,08 Dec 
332, Al-Bawaba,a6037-xw3540,08 Dec 
333, Al-Mada,a6037-xw3540,08 Dec
334,REU,a6037-ve3557,07 Dec 
335, Al-Jaz,a6037-ve3557,08 Dec 
336, Al-Bawaba,a6037-ve3557,08 Dec 
337, Al-Mada,a6037-ve3557,08 Dec
338,REU,a6037-xf3630,07 Dec 
339, Al-Jaz,a6037-xf3630,08 Dec 
340, Al-Bawaba,a6037-xf3630,08 Dec 
341, Al-Mada,a6037-xf3630,08 Dec
342,REU,a6037-ef3499,07 Dec 
343, Al-Jaz,a6037-ef3499,08 Dec 
344, Al-Bawaba,a6037-ef3499,08 Dec 
345, Al-Mada,a6037-ef3499,08 Dec
346,REU,a6037-df3536,07 Dec 
347, Al-Jaz,a6037-df3536,08 Dec 
348, Al-Bawaba,a6037-df3536,08 Dec 
349, Al-Mada,a6037-df3536,08 Dec
350,REU,a6037-eh3553,07 Dec 
351, Al-Jaz,a6037-eh3553,08 Dec 
352, Al-Bawaba,a6037-eh3553,08 Dec 
353, Al-Mada,a6037-eh3553,08 Dec
354,REU,a6037-dh3626,07 Dec 
355, Al-Jaz,a6037-dh3626,08 Dec 
356, Al-Bawaba,a6037-dh3626,08 Dec 
357, Al-Mada,a6037-dh3626,08 Dec
358,REU,a6037-nb3574,07 Dec 
359, Al-Jaz,a6037-nb3574,08 Dec 
360, Al-Bawaba,a6037-nb3574,08 Dec 
361, Al-Mada,a6037-nb3574,08 Dec
362,REU,a6037-kn3517,07 Dec 
363, Al-Jaz,a6037-kn3517,08 Dec 
364, Al-Bawaba,a6037-kn3517,08 Dec 
365, Al-Mada,a6037-kn3517,08 Dec
366,REU,a6037-nd3532,07 Dec 
367, Al-Jaz,a6037-nd3532,08 Dec 
368, Al-Bawaba,a6037-nd3532,08 Dec 
369, Al-Mada,a6037-nd3532,08 Dec
370,REU,a6037-kr3439,07 Dec 
371, Al-Jaz,a6037-kr3439,08 Dec 
372, Al-Bawaba,a6037-kr3439,08 Dec 
373, Al-Mada,a6037-kr3439,08 Dec
374,REU,a6037-xv3570,07 Dec 
375, Al-Jaz,a6037-xv3570,08 Dec 
376, Al-Bawaba,a6037-xv3570,08 Dec 
377, Al-Mada,a6037-xv3570,08 Dec
378,REU,a6037-kv3513,07 Dec 
379, Al-Jaz,a6037-kv3513,08 Dec 
380, Al-Bawaba,a6037-kv3513,08 Dec 
381, Al-Mada,a6037-kv3513,08 Dec
382,REU,a6037-xz3528,07 Dec 
383, Al-Jaz,a6037-xz3528,08 Dec 
384, Al-Bawaba,a6037-xz3528,08 Dec 
385, Al-Mada,a6037-xz3528,08 Dec
386,REU,a6037-kz3443,07 Dec 
387, Al-Jaz,a6037-kz3443,08 Dec 
388, Al-Bawaba,a6037-kz3443,08 Dec 
389, Al-Mada,a6037-kz3443,08 Dec
390,REU,a6037-bu3582,07 Dec 
391, Al-Jaz,a6037-bu3582,08 Dec 
392, Al-Bawaba,a6037-bu3582,08 Dec 
393, Al-Mada,a6037-bu3582,08 Dec
394,REU,a6037-hr3509,07 Dec 
395, Al-Jaz,a6037-hr3509,08 Dec 
396, Al-Bawaba,a6037-hr3509,08 Dec 
397, Al-Mada,a6037-hr3509,08 Dec
398,REU,a6037-bc3524,07 Dec 
399, Al-Jaz,a6037-bc3524,08 Dec 
400, Al-Bawaba,a6037-bc3524,08 Dec 
401, Al-Mada,a6037-bc3524,08 Dec
402,REU,a6037-nv3447,07 Dec 
403, Al-Jaz,a6037-nv3447,08 Dec 
404, Al-Bawaba,a6037-nv3447,08 Dec 
405, Al-Mada,a6037-nv3447,08 Dec
406,REU,a6037-fn3578,07 Dec 
407, Al-Jaz,a6037-fn3578,08 Dec 
408, Al-Bawaba,a6037-fn3578,08 Dec 
409, Al-Mada,a6037-fn3578,08 Dec
410,REU,a6037-hx3505,07 Dec 
411, Al-Jaz,a6037-hx3505,08 Dec 
412, Al-Bawaba,a6037-hx3505,08 Dec 
413, Al-Mada,a6037-hx3505,08 Dec
414,REU,a6037-fm3520,07 Dec 
415, Al-Jaz,a6037-fm3520,08 Dec 
416, Al-Bawaba,a6037-fm3520,08 Dec 
417, Al-Mada,a6037-fm3520,08 Dec
418,REU,a6037-hw3451,07 Dec 
419, Al-Jaz,a6037-hw3451,08 Dec 
420, Al-Bawaba,a6037-hw3451,08 Dec 
421, Al-Mada,a6037-hw3451,08 Dec
422,REU,a6037-nw3533,07 Dec 
423, Al-Jaz,a6037-nw3533,08 Dec 
424, Al-Bawaba,a6037-nw3533,08 Dec 
425, Al-Mada,a6037-nw3533,08 Dec
426,REU,a6037-bd3525,07 Dec 
427, Al-Jaz,a6037-bd3525,08 Dec 
428, Al-Bawaba,a6037-bd3525,08 Dec 
429, Al-Mada,a6037-bd3525,08 Dec
430,REU,a6037-nk3523,07 Dec 
431, Al-Jaz,a6037-nk3523,08 Dec 
432, Al-Bawaba,a6037-nk3523,08 Dec 
433, Al-Mada,a6037-nk3523,08 Dec
434,AFP,a5970-hm3670,06 Dec 
435, Al-Mada,a5970-hm3670,06 Dec
436,Airwars,a5972-sz3533,2016
437,Airwars,a5972-ev3512,2016
438,Airwars,a5961-hv3563,2016
439,Al-Sum,a5953-vm3449,01 Dec
440,AFP,a5955-ek3503,02 Dec
441, Al-Sum,a5955-ek3503,01 Dec
442,Al-Maalomah,a6001-ke3606,01 Dec
443,Yaqein,d12773-fm3560,30 Nov
444, JBC News,d12773-fm3560,30 Nov
445, Airwars,d12773-fm3560,2016
446,Yaqein,d12773-hw3475,30 Nov
447, JBC News,d12773-hw3475,30 Nov
448, Airwars,d12773-hw3475,2016
449,Yaqein,d12773-nw3557,30 Nov
450, JBC News,d12773-nw3557,30 Nov
451, Airwars,d12773-nw3557,2016
452,Yaqein,d12773-sc3662,30 Nov
453, JBC News,d12773-sc3662,30 Nov
454, Airwars,d12773-sc3662,2016
455,Yaqein,d12773-nm3666,30 Nov
456, JBC News,d12773-nm3666,30 Nov
457, Airwars,d12773-nm3666,2016
458,Yaqein,d12773-ks3481,30 Nov
459, JBC News,d12773-ks3481,30 Nov
460, Airwars,d12773-ks3481,2016
461,Yaqein,d12773-ns3496,30 Nov
462, JBC News,d12773-ns3496,30 Nov
463, Airwars,d12773-ns3496,2016
464,Yaqein,d12773-hv3539,30 Nov
465, JBC News,d12773-hv3539,30 Nov
466, Airwars,d12773-hv3539,2016
467,Yaqein,d12773-xd3670,30 Nov
468, JBC News,d12773-xd3670,30 Nov
469, Airwars,d12773-xd3670,2016
470,Yaqein,d12773-kx3485,30 Nov
471, JBC News,d12773-kx3485,30 Nov
472, Airwars,d12773-kx3485,2016
473,Yaqein,d12773-ux3500,30 Nov
474, JBC News,d12773-ux3500,30 Nov
475, Airwars,d12773-ux3500,2016
476,Iraqi News,d12745-kh3660,24 Nov
477, Al-Alam,d12745-kh3660,25 Nov
478,Iraqi News,d12745-bx3633,24 Nov
479, Al-Alam,d12745-bx3633,25 Nov
480,Iraqi News,d12745-xk3450,24 Nov
481, Al-Alam,d12745-xk3450,25 Nov
482,Naynawaalghad,d12749-uw3519,24 Nov
483, Airwars,d12749-uw3519,2016
484,Al-Mada,a5923-hc3535,23 Nov 
485, NINA,a5923-hc3535,23 Nov
486,Al-Maalomah,d12860-za3590,23 Nov
487, Al-Sum,d12860-za3590,24 Nov
488,AIN,d12783-fe3491,23 Nov
489, Al-Sum,d12783-fe3491,23 Nov
490,NINA,a5919-hu3485,22 Nov
491,NINA,a5914-ks3473,21 Nov 
492, ARA News,a5914-ks3473,22 Nov
493,REU,a5916-bn3666,22 Nov
494,Al-Bagh,a5907-zm3457,19 Nov
495, Al-Maalomah,a5907-zm3457,19 Nov
496,Rudaw,a5943-sk3511,19 Nov
497, Al-Bagh,a5943-sk3511,19 Nov
498,Rudaw,a5912-vs3531,19 Nov
499, NINA,a5912-vs3531,19 Nov
500, AP,a5912-vs3531,20 Nov
501, Gulf Today,a5912-vs3531,21 Nov
502,XIN,a5909-xu3448,19 Nov 
503, AP,a5909-xu3448,19 Nov
504,Al-Sum,a5898-vc3634,18 Nov
505,AIN,a5872-dc3693,17 Nov
506,Al-Mada,a5947-xr3650,17 Nov 
507, Al-Bagh,a5947-xr3650,17 Nov
508, Al-Maalomah,a5947-xr3650,17 Nov
509, DPA,a5947-xr3650,17 Nov
510,Al-Sum,a5865-zu3490,16 Nov
511,Al-Sum,a5865-ed3676,16 Nov
512,NINA,a5939-ur3638,16 Nov 
513, Iraqi News,a5939-ur3638,16 Nov
514,NINA,a5939-dc3453,16 Nov 
515, Iraqi News,a5939-dc3453,16 Nov
516,NINA,a5939-xh3515,16 Nov 
517, Iraqi News,a5939-xh3515,16 Nov
518,NINA,a5856-nz3518,14 Nov 
519, Al-Sum,a5856-nz3518,14 Nov
520,Airwars,d12801-bv3489,2016
521,Airwars,d12801-hz3690,2016
522,AFP,a5933-nf3487,13 Nov
523,AFP,a5933-ka3548,13 Nov
524,Al-Sum,a5818-hr3589,11 Nov
525,Al-Mada,a5823-bc3572,11 Nov
526,Al-Maalomah,d12838-kf3686,11 Nov
527,Al-Maalomah,d12838-fh3551,11 Nov
528,Al-Mada,a5813-xv3522,10 Nov
529,Al-Sum,a5800-dh3546,09 Nov
530,Al-Sum,a5800-nb3526,09 Nov
531,Airwars,a5808-nd3580,2016
532, Al-Maalomah,a5808-nd3580,09 Nov
533,Airwars,a5930-hw3483,2016
534,Al-Sum,a5793-ve3605,08 Nov 
535, NINA,a5793-ve3605,08 Nov
536,Al-Sum,a5794-xf3550,08 Nov
537, NINA,a5794-xf3550,08 Nov
538,NINA,a5796-ef3675,08 Nov
539,REU,d12815-dh3594,06 Nov
540, NINA,d12815-dh3594,06 Nov
541, XIN,d12815-dh3594,06 Nov
542, Al-Mada,d12815-dh3594,06 Nov
543,XIN,d12813-vn3463,06 Nov
544, NINA,d12813-vn3463,06 Nov
545,Airwars,a5934-xm3561,2016
546,Airwars,a5934-kb3618,2016
547,Airwars,a5934-xb3491,2016
548,Airwars,d12809-xe3447,2016
549,Airwars,d12809-za3582,2016
550,Al-Mada,a5748-ue3554,01 Nov 
551, NINA,a5748-ue3554,02 Nov
552,Al-Mada,a5748-dz3625,01 Nov 
553, NINA,a5748-dz3625,02 Nov
554,Al-Bagh,a5695-nk3587,29 Oct 
555, Al-Mada,a5695-nk3587,29 Oct
556,Al-Bagh,a5696-hu3661,29 Oct
557, Al-Mada,a5696-hu3661,29 Oct
558,Al-Bagh,a5696-fd3644,29 Oct
559, Al-Mada,a5696-fd3644,29 Oct
560,Al-Mada,a5733-fz3567,27 Oct
561,Al-Mada,a5733-hs3660,27 Oct
562,Al-Mada,a5724-bw3571,26 Oct
563,Al-Sum,d12724-sw3688,25 Oct
564, NINA,d12724-sw3688,25 Oct
565,NINA,a5890-ve3533,25 Oct 
566, Mosul Eye,a5890-ve3533,25 Oct
567,Al-Sum,d12712-uc3612,25 Oct
568, Al-Mada,d12712-uc3612,25 Oct
569,Airwars,d12897-kv3553,2016
570,GUA,d12706-hw3651,01 Nov
571, Airwars,d12706-hw3651,2016
572,GUA,d12706-nw3573,01 Nov
573, Airwars,d12706-nw3573,2016
574,GUA,d12706-ka3588,01 Nov
575, Airwars,d12706-ka3588,2016
576,Al-Sum,a5882-ks3657,22 Oct 
577, IFJ,a5882-ks3657,25 Oct
578,DW,a5888-xw3516,25 Oct 
579, BBC,a5888-xw3516,25 Oct
580,AI,a5894-kn3541,10 Nov 
581, REU,a5894-kn3541,10 Nov
582,AI,a5894-nd3556,10 Nov 
583, REU,a5894-nd3556,10 Nov
584,AI,a5894-kr3479,10 Nov 
585, REU,a5894-kr3479,10 Nov
586,AI,a5894-xv3610,10 Nov 
587, REU,a5894-xv3610,10 Nov
588,AI,a5894-kv3537,10 Nov 
589, REU,a5894-kv3537,10 Nov
590,REU,d12726-xr3474,26 Oct
591,AP,d12734-hv3587,21 Oct
592, AFP,d12734-hv3587,21 Oct
593,AP,d12736-hu3653,21 Oct
594, REU,d12736-hu3653,24 Oct
595, AFP,d12736-hu3653,21 Oct
596, XIN,d12736-hu3653,22 Oct
597,AP,d12736-fd3636,21 Oct
598, REU,d12736-fd3636,24 Oct
599, AFP,d12736-fd3636,21 Oct
600, XIN,d12736-fd3636,22 Oct
601,AP,d12736-hc3591,21 Oct
602, REU,d12736-hc3591,24 Oct
603, AFP,d12736-hc3591,21 Oct
604, XIN,d12736-hc3591,22 Oct
605,Al-Mada,d12737-bz3571,21 Oct
